"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","八雲","都立大学",10,120000000,110,"","",105,"2009年","木造","","","北","公道",6,"１低住専",60,150,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒","目黒","",80000000,65,"","",110,"2009年","木造","","","東","公道",5.4,"１中住専",60,200,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒","目黒",15,280000000,275,"","",290,"2009年","ＲＣ","","","北","私道",4.6,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒","目黒",15,290000000,200,"","",280,"2015年","木造","","","西","公道",5.4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,91000000,80,"","",85,"2017年","木造","","","西","公道",4.3,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","平町","都立大学",10,93000000,95,"","",95,"2011年","木造","","","北西","私道",3.4,"１低住専",50,100,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","平町","都立大学",15,80000000,70,"","",85,"2006年","","","","東","私道",3.3,"１低住専",60,150,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","大岡山","大岡山",10,83000000,85,"","",85,"2005年","木造","","","南東","公道",3.7,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",10,120000000,90,"","",95,"1991年","木造","","","北東","公道",3.3,"１種住居",60,160,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","上目黒","中目黒",15,130000000,75,"","",120,"2018年","木造","","","東","",4.5,"１低住専",60,150,"2022年第2四半期",""
